Module,Version
avm/res/service-networking/traffic-controller,0.2.0
avm/res/signal-r-service/signal-r,0.10.1
avm/res/signal-r-service/web-pub-sub,0.7.2
avm/res/sql/instance-pool,0.1.2
avm/res/sql/managed-instance,0.4.0
avm/res/sql/server,0.21.1
avm/res/storage/storage-account,0.31.0
avm/res/synapse/private-link-hub,0.6.6
avm/res/synapse/workspace,0.14.2
avm/res/virtual-machine-images/image-template,0.6.1
avm/res/web/connection,0.4.3
avm/res/web/hosting-environment,0.4.1
avm/res/web/serverfarm,0.6.0
avm/res/web/site,0.21.0
avm/res/web/static-site,0.9.3
